CID,IDSURVEY,zCMB,zHD,zHEL,MU,MUERR_FINAL
0,1,0.013,0.013,0.013,14.41105,0.002967
1,1,0.0192,0.0192,0.0192,15.267871,0.0033
2,1,0.0258,0.0258,0.0258,15.92004,0.0045
3,1,0.0323,0.0323,0.0323,16.41827,0.006933
4,1,0.0397,0.0397,0.0397,16.877834,0.008933
5,1,0.0495,0.0495,0.0495,17.372107,0.009833
6,1,0.0557,0.0557,0.0557,17.637861,0.004733
7,1,0.0635,0.0635,0.0635,17.934288,0.004433
8,1,0.0718,0.0718,0.0718,18.213488,0.003567
9,1,0.0802,0.0802,0.0802,18.466181,0.003467
10,1,0.0894,0.0894,0.0894,18.715454,0.0029
11,1,0.0988,0.0988,0.0988,18.946117,0.0071
12,1,0.108,0.108,0.108,19.152553,0.0064
13,1,0.1183,0.1183,0.1183,19.364823,0.0058
14,1,0.1291,0.1291,0.1291,19.569472,0.0051
15,1,0.1404,0.1404,0.1404,19.767067,0.0045
16,1,0.152,0.152,0.152,19.954996,0.0042
17,1,0.1646,0.1646,0.1646,20.14453,0.0034
18,1,0.1776,0.1776,0.1776,20.326424,0.0031
19,1,0.1915,0.1915,0.1915,20.507713,0.0029
20,1,0.2061,0.2061,0.2061,20.685449,0.0026
21,1,0.2219,0.2219,0.2219,20.865126,0.0025
22,1,0.2385,0.2385,0.2385,21.041598,0.0023
23,1,0.2565,0.2565,0.2565,21.220586,0.0021
24,1,0.2759,0.2759,0.2759,21.400976,0.002
25,1,0.2971,0.2971,0.2971,21.585207,0.0019
26,1,0.3195,0.3195,0.3195,21.767155,0.0018
27,1,0.3447,0.3447,0.3447,21.958303,0.0018
28,1,0.3721,0.3721,0.3721,22.15204,0.0017
29,1,0.4025,0.4025,0.4025,22.352141,0.0017
30,1,0.4367,0.4367,0.4367,22.561181,0.0018
31,1,0.4754,0.4754,0.4754,22.780139,0.0018
32,1,0.5203,0.5203,0.5203,23.014261,0.002
33,1,0.572,0.572,0.572,23.26147,0.0023
34,1,0.6356,0.6356,0.6356,23.538194,0.0026
35,1,0.712,0.712,0.712,23.837779,0.0029
36,1,0.8187,0.8187,0.8187,24.208275,0.0031
37,1,0.9537,0.9537,0.9537,24.615029,0.0033
38,1,1.1162,1.1162,1.1162,25.035432,0.0063
39,1,1.3684,1.3684,1.3684,25.579982,0.3286
