#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar cov_m_s cov_m_c cov_s_c set ra dec biascor
0 0.013 0.013 0.0 14.423176271684753 0.002967 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0.0192 0.0192 0.0 15.27936975588866 0.0033 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.0258 0.0258 0.0 15.930884093143618 0.0045 0 0 0 0 0 0 0 0 0 0 0 0 0
3 0.0323 0.0323 0.0 16.42848130163273 0.006933 0 0 0 0 0 0 0 0 0 0 0 0 0
4 0.0397 0.0397 0.0 16.887339557559386 0.008933 0 0 0 0 0 0 0 0 0 0 0 0 0
5 0.0495 0.0495 0.0 17.380702026273916 0.009833 0 0 0 0 0 0 0 0 0 0 0 0 0
6 0.0557 0.0557 0.0 17.64589315022763 0.004733 0 0 0 0 0 0 0 0 0 0 0 0 0
7 0.0635 0.0635 0.0 17.941627116787167 0.004433 0 0 0 0 0 0 0 0 0 0 0 0 0
8 0.0718 0.0718 0.0 18.220106793780985 0.003567 0 0 0 0 0 0 0 0 0 0 0 0 0
9 0.0802 0.0802 0.0 18.472089933344954 0.003467 0 0 0 0 0 0 0 0 0 0 0 0 0
10 0.0894 0.0894 0.0 18.720604611271348 0.0029 0 0 0 0 0 0 0 0 0 0 0 0 0
11 0.0988 0.0988 0.0 18.950515185640008 0.0071 0 0 0 0 0 0 0 0 0 0 0 0 0
12 0.108 0.108 0.0 19.15623457918153 0.0064 0 0 0 0 0 0 0 0 0 0 0 0 0
13 0.1183 0.1183 0.0 19.36772636153114 0.0058 0 0 0 0 0 0 0 0 0 0 0 0 0
14 0.1291 0.1291 0.0 19.571585244078307 0.0051 0 0 0 0 0 0 0 0 0 0 0 0 0
15 0.1404 0.1404 0.0 19.768381278615458 0.0045 0 0 0 0 0 0 0 0 0 0 0 0 0
16 0.152 0.152 0.0 19.955518744573595 0.0042 0 0 0 0 0 0 0 0 0 0 0 0 0
17 0.1646 0.1646 0.0 20.144225155211593 0.0034 0 0 0 0 0 0 0 0 0 0 0 0 0
18 0.1776 0.1776 0.0 20.32529782121926 0.0031 0 0 0 0 0 0 0 0 0 0 0 0 0
19 0.1915 0.1915 0.0 20.50574673523706 0.0029 0 0 0 0 0 0 0 0 0 0 0 0 0
20 0.2061 0.2061 0.0 20.682638761395708 0.0026 0 0 0 0 0 0 0 0 0 0 0 0 0
21 0.2219 0.2219 0.0 20.861445817814364 0.0025 0 0 0 0 0 0 0 0 0 0 0 0 0
22 0.2385 0.2385 0.0 21.03705019493698 0.0023 0 0 0 0 0 0 0 0 0 0 0 0 0
23 0.2565 0.2565 0.0 21.215149128972428 0.0021 0 0 0 0 0 0 0 0 0 0 0 0 0
24 0.2759 0.2759 0.0 21.394637699067466 0.002 0 0 0 0 0 0 0 0 0 0 0 0 0
25 0.2971 0.2971 0.0 21.577948434796483 0.0019 0 0 0 0 0 0 0 0 0 0 0 0 0
26 0.3195 0.3195 0.0 21.758992330202496 0.0018 0 0 0 0 0 0 0 0 0 0 0 0 0
27 0.3447 0.3447 0.0 21.949202758493435 0.0018 0 0 0 0 0 0 0 0 0 0 0 0 0
28 0.3721 0.3721 0.0 22.142007796891697 0.0017 0 0 0 0 0 0 0 0 0 0 0 0 0
29 0.4025 0.4025 0.0 22.34117551587549 0.0017 0 0 0 0 0 0 0 0 0 0 0 0 0
30 0.4367 0.4367 0.0 22.5492800439698 0.0018 0 0 0 0 0 0 0 0 0 0 0 0 0
31 0.4754 0.4754 0.0 22.767310973457718 0.0018 0 0 0 0 0 0 0 0 0 0 0 0 0
32 0.5203 0.5203 0.0 23.000515178276437 0.002 0 0 0 0 0 0 0 0 0 0 0 0 0
33 0.572 0.572 0.0 23.246849617011115 0.0023 0 0 0 0 0 0 0 0 0 0 0 0 0
34 0.6356 0.6356 0.0 23.522724764958845 0.0026 0 0 0 0 0 0 0 0 0 0 0 0 0
35 0.712 0.712 0.0 23.821564050463884 0.0029 0 0 0 0 0 0 0 0 0 0 0 0 0
36 0.8187 0.8187 0.0 24.191404085865692 0.0031 0 0 0 0 0 0 0 0 0 0 0 0 0
37 0.9537 0.9537 0.0 24.59778907499996 0.0033 0 0 0 0 0 0 0 0 0 0 0 0 0
38 1.1162 1.1162 0.0 25.018184964108357 0.0063 0 0 0 0 0 0 0 0 0 0 0 0 0
39 1.3684 1.3684 0.0 25.56323105987056 0.3286 0 0 0 0 0 0 0 0 0 0 0 0 0
